,endTime,artistName,trackName,msPlayed
2194,2021-03-22 04:44,Jimmy Eat World,Sweetness,2206
2195,2021-03-22 04:47,Yellowcard,Ocean Avenue,198266
2196,2021-03-22 04:51,The All-American Rejects,"Swing, Swing",233266
2197,2021-03-22 04:51,Fall Out Boy,"Sugar, We're Goin Down",8000
2198,2021-03-22 04:53,Mayday Parade,Miserable At Best,2602
2199,2021-03-22 04:53,Lustra,Scotty Doesn't Know,116928
2200,2021-03-22 04:54,Mayday Parade,Terrible Things - EP Version,2101
2201,2021-03-22 04:54,Mayday Parade,Stay,3786
2202,2021-03-22 04:54,Mayday Parade,Jersey,1216
2203,2021-03-22 04:58,Mayday Parade,"Oh Well, Oh Well",289870
2204,2021-03-22 04:59,Mayday Parade,Terrible Things - EP Version,2186
2205,2021-03-22 04:59,Mayday Parade,Miserable At Best,3263
2206,2021-03-22 04:59,Mayday Parade,Miserable At Best,2250
2207,2021-03-22 04:59,Mayday Parade,Never Sure,54707
2208,2021-03-22 05:00,Mayday Parade,It Is What It Is,11285
2209,2021-03-22 05:03,Mayday Parade,Piece Of Your Heart,13617
2210,2021-03-22 05:03,Mayday Parade,Stay,214586
2211,2021-03-22 05:04,Mayday Parade,I'd Hate To Be You When People Find Out What This Song Is About,1183
2212,2021-03-22 05:04,Mayday Parade,Jamie All Over,1386
2213,2021-03-22 05:04,Mayday Parade,Take This To Heart,7509
2214,2021-03-22 05:04,Mayday Parade,Jersey,4661
2215,2021-03-22 05:04,Mayday Parade,Jersey,3488
2216,2021-03-22 05:04,Mayday Parade,Jersey,3754
2217,2021-03-22 05:04,Mayday Parade,Three Cheers For Five Years,1333
2218,2021-03-22 05:04,Mayday Parade,Black Cat - Commentary,7423
2219,2021-03-22 05:04,Mayday Parade,"Oh Well, Oh Well",576
2220,2021-03-22 05:08,Mayday Parade,"Call Me Hopeless, but Not Romantic",4074
2221,2021-03-22 05:08,Mayday Parade,No Heroes Allowed,1621
2222,2021-03-22 05:08,Mayday Parade,You're Dead Wrong,6248
2223,2021-03-22 05:08,Mayday Parade,When You See My Friends,214573
2224,2021-03-22 05:08,Mayday Parade,"Oh Well, Oh Well",3477
2225,2021-03-22 05:13,Mayday Parade,Kids in Love,730
2226,2021-03-22 05:13,Mayday Parade,Jamie All Over - EP Version,33461
2227,2021-03-22 05:13,Mayday Parade,"Oh Well, Oh Well - Acoustic",283900
2228,2021-03-22 15:37,You Me At Six,Underdog - Acoustic Version,64645
2229,2021-03-22 17:23,Not Another D&D Podcast,Eldermourne - Ep. 17: Monsters of the Mountain  ,2096187
2230,2021-03-23 03:51,Not Another D&D Podcast,Eldermourne - Ep. 17: Monsters of the Mountain  ,19936
2231,2021-03-23 03:53,Pierce The Veil,King For A Day,2677
2232,2021-03-23 03:53,alt-J,"Dancing in the Moonlight (It's Caught Me in Its Spotlight) - Live from Spotify Studios, New York City, NY",141311
2233,2021-03-23 03:54,Pierce The Veil,Besitos,9034
2234,2021-03-23 03:55,Pierce The Veil,May These Noises Startle You In Your Sleep Tonight,81826
2235,2021-03-23 03:56,Pierce The Veil,Hell Above,68253
2236,2021-03-23 04:01,Pierce The Veil,Bulls In The Bronx,267866
2237,2021-03-23 04:04,Pierce The Veil,Props & Mayhem,217853
